2025-06-05T12:40:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-06-05T12:40:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:40:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:41:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:41:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:42:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:42:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:43:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:43:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:44:50, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:44:50, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:45:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-06-05T12:45:04, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:45:04, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:46:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:46:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:47:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:47:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:48:04, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:48:04, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:49:50, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:49:50, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:50:01, INFO, nrbdaq.sh, nrbdaq.py already running.
2025-06-05T12:50:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:50:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:51:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
2025-06-05T12:51:03, ERROR, nrbdaq.nrbdaq.instr.thermo, [Errno 113] No route to host
